Classification,Summary
0,lymphoid neoplasm diagnosis and significant valvulopathy or myocardiopathy
0,stage iib esophageal cancer diagnosis and prior allergic reaction to the study drugs involved in this protocol or to monoclonal antibody
0,carcinoma non small cell lung diagnosis and known hypersensitivity to macrolide antibiotics
0,melanoma diagnosis and clinically significant non malignant disease
1,colorectal cancer diagnosis and hepatic metastases without spread to other sites except in case of less_than three resectable pulmonary metastases of diameter less_than two cm detected by thoracic scanner
1,estrogen receptor negative breast cancer diagnosis and all subjects
0,non small cell lung cancer diagnosis and pregnant or lactating
1,stage iiia breast cancer diagnosis and history of venous thrombosis in last twelve weeks
0,advanced melanoma diagnosis and has an active infection requiring systemic therapy
1,recurrent plasma cell myeloma diagnosis and any abnormal karyotype by metaphase analysis except for isolated eleven fourteen
0,multiple myeloma diagnosis and known gi disease or gi procedure that could interfere with the oral absorption or tolerance of mlnnine thousand
0,recurrent marginal zone lymphoma diagnosis and patient has poorly controlled hypertension and on multiple antihypertensives
1,hormone resistant prostate cancer diagnosis and have testosterone less_than fifty ng dl patients must continue primary androgen deprivation with luteinizing hormone releasing hormone lhrh analogue if they have not undergone orchiectomy
1,ovarian cancer diagnosis and ast sgot and alt sgpt less_than equal_than doc uln or less_than equal_than five uln for subjects with liver metastases nternational normalized ratio inr pt less_than equal_than doc uln unless subject is receiving anticoagulant therapy as long as pt or partial prothrombin time ptt is within therapeutic range of intended use of anticoagulants h
1,recurrent gastrointestinal carcinoid tumor diagnosis and performance status
1,dermatofibrosarcoma_protuberans diagnosis and platelets greater_than equal_than one hundred zero mcl
1,recurrent melanoma diagnosis and immunotherapy
0,stage iiic primary peritoneal cancer diagnosis and patients with clinical symptoms or signs of gastrointestinal obstruction and or those who require parenteral hydration and or nutrition patients with history or current diagnosis of inflammatory bowel disease are not eligible
0,stage ii prostate cancer diagnosis and hiv positive patients receiving combination anti retroviral therapy because of possible pharmacokinetic interactions with sorafenib
0,recurrent adult liver carcinoma diagnosis and prior liver transplant with evidence of recurrent or metastatic disease
0,history of another malignancy within the last five years except cured carcinoma in situ of uterine cervix cured basal cell carcinoma of skin and superficial bladder tumors ta_tis tone
0,lymphoma diagnosis and cardiac
0,stage iiia non small cell lung cancer diagnosis and pre authorization denial of coverage by insurance providers of clinical staging and restaging pet ct scans
0,medullary thyroid carcinoma diagnosis and hypertension
0,stage iv adult diffuse small cleaved cell lymphoma diagnosis and patients who have previously received chemotherapy other than steroids and intrathecal chemotherapy are not eligible
1,phase one portion non small cell lung cancer nsclc small cell lung cancer sclc mesothelioma diagnosis and measurable unresectable advanced or recurrent sclc
1,stage prostate cancer diagnosis and bilateral orchiectomy
0,lymphoma non hodgkin diagnosis and women who are pregnant or are breast feeding
1,histologically confirmed colorectal cancer
0,tumors diagnosis and must not be pregnant
0,small cell lung cancer diagnosis and serious concomitant medical illness including but not limited to uncontrolled congestive cardiac failure uncontrolled angina myocardial infarction and or stroke within three months or hiv infection
0,merkel cell carcinoma diagnosis and ischemic peripheral vascular disease grade iib iv
1,nodal marginal zone cell lymphoma diagnosis and fourteen days prior to and again within twenty-four hours of prescribing lenalidomide for cycle one prescriptions must be filled within seven days
0,breast cancer risk diagnosis and alcohol or drug abuse
0,lymphoma diagnosis and cardiac insufficiency
0,metastatic cancer diagnosis and history of severe immediate hypersensitivity reaction to any of the agents used in this study
1,advanced cancer diagnosis and ecog performance status less_than equal_than two karnofsky greater_than equal_than sixty
0,stage iv skin melanoma diagnosis and is pregnant or breastfeeding or expecting to conceive or father children within the projected duration of the trial starting with the pre screening or screening visit through one hundred and twenty days after the last dose of trial treatment
1,metastatic cutaneous melanoma diagnosis and the experimental treatment being evaluated in this protocol depends on an intact immune system
0,recurrent cell non hodgkin lymphoma diagnosis and southwestern oncology group swog performance status greater_than equal_than doc
0,leptomeningeal disease or carcinomatous_meningitis
0,neoplasms diagnosis and inclusion of women and minorities
0,recurrent small lymphocytic lymphoma diagnosis and patients with suitably matched related or unrelated donors
0,recurrent adult lymphoblastic lymphoma diagnosis and patients with rapidly progressive intermediate or high grade nhl
0,solid tumor adult diagnosis and qtcf interval greater_than four hundred and seventy ms on screening ecg
1,small intestine lymphoma diagnosis and patients eligible for this trial will have high risk diseases that include but are not limited to
0,stage ivc follicular thyroid cancer diagnosis and second primary malignancy that is clinically detectable or clinically significant at the time of consideration for study enrollment
